model,seed,original_label,final_category,n,tp,fn,fp,tn,recall,fpr
Kc-C,303,normal,3,3,0,0,0,3,,0.0
Kc-C,303,normal,1,1,0,0,0,1,,0.0
Kc-C,303,smishing,4,2,0,2,0,0,0.0,
Kc-C,303,smishing,2,0,0,0,0,0,,
Kc-C,303,smishing,3,0,0,0,0,0,,
Kc-C,303,smishing,1,37,32,5,0,0,0.8648648648648649,
Kc-C,404,normal,4,1,0,0,0,1,,0.0
Kc-C,404,normal,2,31,0,0,1,30,,0.03225806451612903
Kc-C,404,normal,3,11,0,0,2,9,,0.18181818181818182
Kc-C,404,normal,1,1,0,0,0,1,,0.0
Kc-C,404,smishing,4,1,1,0,0,0,1.0,
Kc-C,404,smishing,2,2,0,2,0,0,0.0,
Kc-C,404,smishing,3,1,1,0,0,0,1.0,
Kc-C,404,smishing,1,54,51,3,0,0,0.9444444444444444,
FAGE,42,normal,4,2,0,0,1,1,,0.5
FAGE,42,normal,2,28,0,0,0,28,,0.0
FAGE,42,normal,3,11,0,0,0,11,,0.0
FAGE,42,normal,1,0,0,0,0,0,,
FAGE,42,smishing,4,0,0,0,0,0,,
FAGE,42,smishing,2,3,2,1,0,0,0.6666666666666666,
FAGE,42,smishing,3,2,2,0,0,0,1.0,
FAGE,42,smishing,1,62,60,2,0,0,0.967741935483871,
FAGE,101,normal,4,1,0,0,1,0,,1.0
FAGE,101,normal,2,30,0,0,0,30,,0.0
FAGE,101,normal,3,8,0,0,0,8,,0.0
FAGE,101,normal,1,2,0,0,2,0,,1.0
FAGE,101,smishing,4,2,0,2,0,0,0.0,
FAGE,101,smishing,2,1,1,0,0,0,1.0,
FAGE,101,smishing,3,0,0,0,0,0,,
FAGE,101,smishing,1,44,41,3,0,0,0.9318181818181818,
FAGE,202,normal,4,2,0,0,0,2,,0.0
FAGE,202,normal,2,33,0,0,0,33,,0.0
FAGE,202,normal,3,14,0,0,0,14,,0.0
FAGE,202,normal,1,1,0,0,0,1,,0.0
FAGE,202,smishing,4,3,2,1,0,0,0.6666666666666666,
FAGE,202,smishing,2,1,0,1,0,0,0.0,
FAGE,202,smishing,3,0,0,0,0,0,,
FAGE,202,smishing,1,23,21,2,0,0,0.9130434782608695,
FAGE,303,normal,4,0,0,0,0,0,,
FAGE,303,normal,2,28,0,0,0,28,,0.0
FAGE,303,normal,3,3,0,0,0,3,,0.0
FAGE,303,normal,1,1,0,0,1,0,,1.0
FAGE,303,smishing,4,2,0,2,0,0,0.0,
FAGE,303,smishing,2,0,0,0,0,0,,
FAGE,303,smishing,3,0,0,0,0,0,,
FAGE,303,smishing,1,37,34,3,0,0,0.918918918918919,
FAGE,404,normal,4,1,0,0,0,1,,0.0
FAGE,404,normal,2,31,0,0,1,30,,0.03225806451612903
FAGE,404,normal,3,11,0,0,2,9,,0.18181818181818182
FAGE,404,normal,1,1,0,0,1,0,,1.0
FAGE,404,smishing,4,1,1,0,0,0,1.0,
FAGE,404,smishing,2,2,1,1,0,0,0.5,
FAGE,404,smishing,3,1,1,0,0,0,1.0,
FAGE,404,smishing,1,54,51,3,0,0,0.9444444444444444,
Stacking,42,normal,4,2,0,0,1,1,,0.5
Stacking,42,normal,2,28,0,0,0,28,,0.0
Stacking,42,normal,3,11,0,0,0,11,,0.0
Stacking,42,normal,1,0,0,0,0,0,,
Stacking,42,smishing,4,0,0,0,0,0,,
Stacking,42,smishing,2,3,2,1,0,0,0.6666666666666666,
Stacking,42,smishing,3,2,2,0,0,0,1.0,
Stacking,42,smishing,1,62,60,2,0,0,0.967741935483871,
Stacking,101,normal,4,1,0,0,1,0,,1.0
Stacking,101,normal,2,30,0,0,0,30,,0.0
Stacking,101,normal,3,8,0,0,0,8,,0.0
Stacking,101,normal,1,2,0,0,2,0,,1.0
Stacking,101,smishing,4,2,0,2,0,0,0.0,
Stacking,101,smishing,2,1,1,0,0,0,1.0,
Stacking,101,smishing,3,0,0,0,0,0,,
Stacking,101,smishing,1,44,41,3,0,0,0.9318181818181818,
Stacking,202,normal,4,2,0,0,0,2,,0.0
Stacking,202,normal,2,33,0,0,0,33,,0.0
Stacking,202,normal,3,14,0,0,0,14,,0.0
Stacking,202,normal,1,1,0,0,0,1,,0.0
Stacking,202,smishing,4,3,1,2,0,0,0.3333333333333333,
Stacking,202,smishing,2,1,0,1,0,0,0.0,
Stacking,202,smishing,3,0,0,0,0,0,,
Stacking,202,smishing,1,23,20,3,0,0,0.8695652173913043,
Stacking,303,normal,4,0,0,0,0,0,,
Stacking,303,normal,2,28,0,0,0,28,,0.0
Stacking,303,normal,3,3,0,0,0,3,,0.0
Stacking,303,normal,1,1,0,0,0,1,,0.0
Stacking,303,smishing,4,2,0,2,0,0,0.0,
Stacking,303,smishing,2,0,0,0,0,0,,
Stacking,303,smishing,3,0,0,0,0,0,,
Stacking,303,smishing,1,37,32,5,0,0,0.8648648648648649,
Stacking,404,normal,4,1,0,0,0,1,,0.0
Stacking,404,normal,2,31,0,0,1,30,,0.03225806451612903
Stacking,404,normal,3,11,0,0,2,9,,0.18181818181818182
Stacking,404,normal,1,1,0,0,0,1,,0.0
Stacking,404,smishing,4,1,1,0,0,0,1.0,
Stacking,404,smishing,2,2,0,2,0,0,0.0,
Stacking,404,smishing,3,1,1,0,0,0,1.0,
Stacking,404,smishing,1,54,49,5,0,0,0.9074074074074074,
