message_id,url_id,url_host_defanged,url_length,hostname_length,path_length,path_depth,digit_ratio,special_ratio,subdomain_count,has_ip_literal,has_port,has_punycode,has_at_symbol,is_malformed,suspicious_token_count,hostname_entropy
msg-63ec2e4152dedd541fbc,url-6b1064e8ceac3478f496,hxxps://buly[.]kr,15,7,8,1,0.06666666666666667,0.13333333333333333,0,0,0,0,0,0,0,2.8073549220576037
msg-858962b151597dd2be64,url-7329c3f6a534781982a5,hxxp://ipns[.]kr,16,7,9,2,0.125,0.1875,0,0,0,0,0,0,0,2.8073549220576037
msg-5b6dacf32eab62a8f326,url-c7f7877efd8ed0111712,hxxp://eland[.]kr,15,8,7,1,0.0,0.13333333333333333,0,0,0,0,0,0,0,3.0
msg-bcdd116e80ab14eeda7d,url-47595c15e9ff5ac2eaec,hxxps://s[.]inha[.]ac[.]kr,18,12,6,1,0.0,0.2222222222222222,2,0,0,0,0,0,0,3.0220552088742005
msg-e1578552846ee99861e8,url-7b28384a92fd3d1e6e1f,hxxp://ipns[.]kr,16,7,9,2,0.0,0.1875,0,0,0,0,0,0,0,2.8073549220576037
msg-ae4ce728d5aefd2a0697,url-22861594b183339ea357,hxxp://ipns[.]kr,16,7,9,2,0.0625,0.1875,0,0,0,0,0,0,0,2.8073549220576037
msg-e99ae442b5fbb0f95414,url-c88dc8318755e6cca1b9,hxxps://url[.]kr,13,6,7,1,0.0,0.15384615384615385,0,0,0,0,0,0,0,2.2516291673878226
msg-cc1acd2b691da071f32b,url-7a8eb97f33918b59b20f,hxxps://bit[.]ly,14,6,8,1,0.21428571428571427,0.14285714285714285,0,0,0,0,0,0,0,2.584962500721156
msg-2604d7fe175fb9dff159,url-2d0f8cd56f9b9a2a7019,hxxp://bit[.]ly,14,6,8,1,0.07142857142857142,0.14285714285714285,0,0,0,0,0,0,0,2.584962500721156
msg-1a5a4bda313de4d2f8ce,url-068a8c5ea19d61d428bb,hxxps://kevoting[.]co[.]kr,22,14,8,1,0.045454545454545456,0.13636363636363635,1,0,0,0,0,0,0,3.3787834934861753
msg-7af3e1453f44bc79cd0a,url-1fe4216b528faa256a85,hxxps://bit[.]ly,14,6,8,1,0.21428571428571427,0.14285714285714285,0,0,0,0,0,0,0,2.584962500721156
msg-6fa70f0ae4589aeeaeb6,url-f91aec2515913b21ae82,hxxps://kevoting[.]co[.]kr,22,14,8,1,0.045454545454545456,0.13636363636363635,1,0,0,0,0,0,0,3.3787834934861753
msg-2cf4d3b27728a704c260,url-52ead7a94e33c101536a,hxxp://bit[.]ly,14,6,8,1,0.21428571428571427,0.14285714285714285,0,0,0,0,0,0,0,2.584962500721156
msg-78dff50c48455f204c12,url-ddbde3aa29d2eb79cb15,hxxps://forms[.]gle,27,9,18,1,0.1111111111111111,0.07407407407407407,0,0,0,0,0,0,0,3.169925001442312
msg-b9b9cca33e77a658be96,url-f4b51fe30e0550cae477,hxxp://ipns[.]kr,16,7,9,2,0.0625,0.1875,0,0,0,0,0,0,0,2.8073549220576037
msg-ab449e1ac92bf1fd1e99,url-4ff1d67d4664501b939c,hxxps://url[.]kr,13,6,7,1,0.3076923076923077,0.15384615384615385,0,0,0,0,0,0,0,2.2516291673878226
msg-c4607781284c3b0dcf77,url-82cf8f4be664000223f7,hxxps://url[.]kr,13,6,7,1,0.3076923076923077,0.15384615384615385,0,0,0,0,0,0,0,2.2516291673878226
msg-f6ef43bac2d274b00e93,url-87978619fab8f19b4454,hxxp://eland[.]kr,16,8,8,1,0.125,0.125,0,0,0,0,0,0,0,3.0
msg-303245f339547182a2da,url-13eb3dca130f4af784f8,hxxps://shorturl[.]at,17,11,6,1,0.11764705882352941,0.11764705882352941,0,0,0,0,0,0,0,3.095795255000934
msg-d4e5b94dad1d7a584475,url-613fd365939258b113ee,hxxp://eland[.]kr,15,8,7,1,0.13333333333333333,0.13333333333333333,0,0,0,0,0,0,0,3.0
msg-05c13fc56275c0e714d2,url-2bd51367c95e14981a0e,hxxp://ipns[.]kr,16,7,9,2,0.25,0.1875,0,0,0,0,0,0,0,2.8073549220576037
msg-84cd1282e1f0d5ea1920,url-dc27d9ec0fdf4a940b4f,hxxp://ipns[.]kr,16,7,9,2,0.1875,0.1875,0,0,0,0,0,0,0,2.8073549220576037
msg-a0240257cc3201bb651a,url-d1ab812de2312dc6323d,hxxps://m[.]site[.]naver[.]com,22,16,6,1,0.045454545454545456,0.18181818181818182,2,0,0,0,0,0,0,3.452819531114783
msg-7f260d6b94670ae1478a,url-5ec7222511ce36acac47,hxxp://vo[.]la,13,5,8,1,0.0,0.15384615384615385,0,0,0,0,0,0,0,2.321928094887362
msg-61c72a7771d229c148fc,url-97da652dbd0dc6c422fe,hxxp://vo[.]la,13,5,8,1,0.0,0.15384615384615385,0,0,0,0,0,0,0,2.321928094887362
msg-0cf510d896948880f1ed,url-a2ddd5eb04d7afa28742,hxxp://l[.]point,7,7,0,0,0.0,0.14285714285714285,0,0,0,0,0,0,0,2.8073549220576037
msg-0cf510d896948880f1ed,url-9d52c7e6db97149eceaf,hxxp://l[.]point,7,7,0,0,0.0,0.14285714285714285,0,0,0,0,0,0,0,2.8073549220576037
msg-0cf510d896948880f1ed,url-c60cc4a6fe5f3a3c92d8,hxxp://pf[.]kakao[.]com,31,12,19,2,0.2903225806451613,0.16129032258064516,1,0,0,0,0,0,0,2.918295834054489
msg-0cf510d896948880f1ed,url-4d6b60919ddd638fd06b,hxxp://pf[.]kakao[.]com,21,12,9,1,0.0,0.19047619047619047,1,0,0,0,0,0,0,2.918295834054489
